251: 315.453491, 196.454117 avg, 0.000004 rate, 2.865422 seconds, 4016 images
252: 312.193420, 208.028046 avg, 0.000004 rate, 2.957411 seconds, 4032 images
253: 308.600311, 218.085266 avg, 0.000004 rate, 2.960250 seconds, 4048 images
254: 304.914001, 226.768143 avg, 0.000004 rate, 2.972869 seconds, 4064 images
255: 301.280365, 234.219360 avg, 0.000004 rate, 2.951138 seconds, 4080 images
256: 296.424194, 240.439850 avg, 0.000004 rate, 2.955915 seconds, 4096 images
257: 292.243622, 245.620224 avg, 0.000004 rate, 2.934415 seconds, 4112 images
258: 287.561829, 249.814392 avg, 0.000004 rate, 2.953596 seconds, 4128 images
259: 283.085602, 253.141510 avg, 0.000004 rate, 2.966622 seconds, 4144 images
260: 278.618591, 255.689224 avg, 0.000005 rate, 2.938212 seconds, 4160 images
261: 244.330124, 254.553314 avg, 0.000005 rate, 2.629798 seconds, 4176 images
262: 240.367157, 253.134705 avg, 0.000005 rate, 2.724885 seconds, 4192 images
263: 236.234131, 251.444641 avg, 0.000005 rate, 2.740720 seconds, 4208 images
264: 232.018112, 249.501984 avg, 0.000005 rate, 2.726112 seconds, 4224 images
265: 227.852844, 247.337067 avg, 0.000005 rate, 2.739403 seconds, 4240 images
266: 223.354767, 244.938843 avg, 0.000005 rate, 2.723010 seconds, 4256 images
267: 219.500565, 242.395020 avg, 0.000005 rate, 2.751338 seconds, 4272 images
268: 215.655914, 239.721115 avg, 0.000005 rate, 2.739680 seconds, 4288 images
269: 210.887283, 236.837738 avg, 0.000005 rate, 2.718784 seconds, 4304 images
270: 207.512894, 233.905258 avg, 0.000005 rate, 2.732441 seconds, 4320 images
271: 138.237625, 224.338501 avg, 0.000005 rate, 1.823133 seconds, 4336 images
272: 135.472809, 215.451935 avg, 0.000005 rate, 1.891690 seconds, 4352 images
273: 133.224197, 207.229156 avg, 0.000006 rate, 1.885561 seconds, 4368 images
274: 130.368057, 199.543045 avg, 0.000006 rate, 1.885903 seconds, 4384 images
275: 128.279083, 192.416656 avg, 0.000006 rate, 1.889035 seconds, 4400 images
276: 125.989586, 185.773956 avg, 0.000006 rate, 1.884898 seconds, 4416 images
277: 123.593750, 179.555939 avg, 0.000006 rate, 1.882968 seconds, 4432 images
278: 121.496582, 173.750000 avg, 0.000006 rate, 1.880465 seconds, 4448 images
279: 119.550819, 168.330078 avg, 0.000006 rate, 1.894911 seconds, 4464 images
280: 117.534668, 163.250534 avg, 0.000006 rate, 1.886175 seconds, 4480 images
281: 59.794170, 152.904892 avg, 0.000006 rate, 1.080856 seconds, 4496 images
282: 58.482975, 143.462708 avg, 0.000006 rate, 1.112825 seconds, 4512 images
283: 57.632313, 134.879669 avg, 0.000006 rate, 1.118755 seconds, 4528 images
284: 56.804508, 127.072151 avg, 0.000007 rate, 1.103593 seconds, 4544 images
285: 55.881733, 119.953110 avg, 0.000007 rate, 1.106311 seconds, 4560 images
286: 55.298309, 113.487633 avg, 0.000007 rate, 1.106644 seconds, 4576 images
287: 54.645653, 107.603432 avg, 0.000007 rate, 1.128689 seconds, 4592 images
288: 53.740307, 102.217117 avg, 0.000007 rate, 1.110515 seconds, 4608 images
289: 53.130386, 97.308441 avg, 0.000007 rate, 1.105474 seconds, 4624 images
290: 52.959854, 92.873581 avg, 0.000007 rate, 1.106479 seconds, 4640 images
291: 101.017143, 93.687935 avg, 0.000007 rate, 1.825592 seconds, 4656 images
292: 99.875252, 94.306664 avg, 0.000007 rate, 1.890064 seconds, 4672 images
293: 98.616249, 94.737625 avg, 0.000007 rate, 1.881926 seconds, 4688 images
294: 97.275620, 94.991425 avg, 0.000007 rate, 1.881210 seconds, 4704 images
295: 96.428162, 95.135101 avg, 0.000008 rate, 1.888785 seconds, 4720 images
296: 94.557678, 95.077362 avg, 0.000008 rate, 1.886925 seconds, 4736 images
297: 93.661957, 94.935822 avg, 0.000008 rate, 1.904900 seconds, 4752 images
298: 92.103325, 94.652573 avg, 0.000008 rate, 1.880907 seconds, 4768 images
299: 90.957779, 94.283096 avg, 0.000008 rate, 1.885262 seconds, 4784 images
300: 89.689255, 93.823715 avg, 0.000008 rate, 1.887537 seconds, 4800 images
301: 114.764687, 95.917816 avg, 0.000008 rate, 2.211576 seconds, 4816 images
302: 113.063965, 97.632431 avg, 0.000008 rate, 2.308886 seconds, 4832 images
303: 111.472351, 99.016426 avg, 0.000008 rate, 2.310370 seconds, 4848 images
304: 109.299629, 100.044746 avg, 0.000009 rate, 2.309303 seconds, 4864 images
305: 107.515892, 100.791862 avg, 0.000009 rate, 2.309543 seconds, 4880 images
306: 105.613136, 101.273987 avg, 0.000009 rate, 2.302100 seconds, 4896 images
307: 103.905777, 101.537163 avg, 0.000009 rate, 2.308564 seconds, 4912 images
308: 101.600876, 101.543533 avg, 0.000009 rate, 2.296361 seconds, 4928 images
309: 99.930794, 101.382263 avg, 0.000009 rate, 2.302335 seconds, 4944 images
310: 98.082870, 101.052322 avg, 0.000009 rate, 2.309631 seconds, 4960 images
311: 108.725677, 101.819656 avg, 0.000009 rate, 2.633324 seconds, 4976 images
312: 106.067215, 102.244415 avg, 0.000009 rate, 2.722011 seconds, 4992 images
313: 104.112213, 102.431198 avg, 0.000010 rate, 2.729969 seconds, 5008 images
314: 101.797211, 102.367798 avg, 0.000010 rate, 2.728124 seconds, 5024 images
315: 99.828293, 102.113846 avg, 0.000010 rate, 2.726299 seconds, 5040 images
316: 97.138283, 101.616287 avg, 0.000010 rate, 2.730030 seconds, 5056 images
317: 95.230995, 100.977760 avg, 0.000010 rate, 2.726987 seconds, 5072 images
318: 93.122154, 100.192200 avg, 0.000010 rate, 2.729816 seconds, 5088 images
319: 90.758209, 99.248802 avg, 0.000010 rate, 2.726829 seconds, 5104 images
320: 88.311829, 98.155106 avg, 0.000010 rate, 2.722548 seconds, 5120 images
321: 51.063137, 93.445908 avg, 0.000011 rate, 1.636376 seconds, 5136 images
322: 49.779537, 89.079269 avg, 0.000011 rate, 1.714427 seconds, 5152 images
323: 49.020649, 85.073410 avg, 0.000011 rate, 1.704269 seconds, 5168 images
324: 47.723816, 81.338448 avg, 0.000011 rate, 1.704005 seconds, 5184 images
325: 46.535236, 77.858124 avg, 0.000011 rate, 1.718517 seconds, 5200 images
